Race,Category,Short Description,Size,Type,Subtype,HD,Land,Burrow,Climb,Fly,Maneuver,Swim,Natural Armor,Natural Attacks,Special Attacks,Spell-like abilities,Psionic abilities,Other Special Abilities,LowLight Vision,Darkvision,Other Senses,Immunities,Vulnerabilities,Energy Resistance,Spell Resistance,Damage Reduction,Fast Healing,Bonus Essentia,Other Special Qualities,Str,Dex,Con,Int,Wis,Cha,StrAdj,DexAdj,ConAdj,IntAdj,WisAdj,ChaAdj,Racial Skills,Racial Weapon Familiarity,Racial Weapon Proficiency,Bonus Feat(s),Automatic Languages,Bonus Languages,Dragonlance Languages,CR Adj.,Alignment,Level Adj.,Favored Class,Base Age,Height,Weight,Special Qualities,,Familiar Level,Companion Level,Familiar Type,Companion  Type,Wildshape Special,Special,Index,Species,Src,Pg,AltSrc
"Mephit, Ooze",,,Small,Outsider,,3,30,,,40,average,30,5,2 claws;,,,,,,60,,,,,,5/magic,2,,,14,10,13,6,11,15,,,,,,,,,,Power Attack;Toughness;,,,,,Neutral,-,,,,,Breath weapon;Spell-like abilities;Summon mephit,,7,,Planar,,,,,,MM,183,PlH
"Mephit, Salt",,,Small,Outsider,,3,30,,,40,average,,6,2 claws;,,,,,,60,,,,,,5/magic,2,,,17,8,13,6,11,15,,,,,,,,,,Power Attack;Toughness;,,,,,Neutral,-,,,,,Breath weapon;Spell-like abilities;Summon mephit,,7,,Planar,,,,,,MM,184,PlH
"Mephit, Steam",,,Small,Outsider,,3,30,,,50,average,,4,2 claws;,,,,,,60,,fire,cold,,,5/magic,2,,,10,13,10,6,11,15,,,,,,,,,,Dodge;Improved Initiative;,,,,,Neutral,-,,,,,Breath weapon;Spell-like abilities;Summon mephit,,7,,Planar,,,,,,MM,184,PlH
"Mephit, Water",,,Small,Outsider,,3,30,,,40,average,30,5,2 claws;,,,,,,60,,,,,,5/magic,2,,,14,10,13,6,11,15,,,,,,,,,,Power Attack;Toughness;,,,,,Neutral,-,,,,,Breath weapon;Spell-like abilities;Summon mephit,,7,,Planar,,,,,,MM,185,PlH
Monkey,,,Tiny,Animal,,1,30,,30,,,,,Bite+5+0+2,,,,,,60,,,,,,,,,,3,15,10,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,OA,,
"Octopus, Giant",,,Large,Animal,Aquatic,8,20,,,,,30,7,"8 Tentacles+3+0+1,Bite+5+0+0",,,,,normal,,,,,,,,,,,20,15,13,2,12,3,,,,,,,,,,,,,,,,-,,,,,,,,13,,,,,,,MM,276,
Osquip,,,Small,Magical Beast,,1,40,5,,,,,3,Bite;,,,,,normal,,,,,,,,,,,14,13,19,2,12,2,,,,,,,,,,Weapon Focus(bite);,,,,,Neutral Evil,-,,,,,Scent,,5,,Improved,,,,,,RoF,,PGtF
Owl,,,Tiny,Animal,,1,10,,,40,average,,2,Talons+6+0+2,,,,,,,,,,,,,,,,4,17,10,2,14,4,,,,,,,"Listen+8,Move Silently+14,Spot",,,Weapon Finesse,,,,0,Neutral,-,,,,,Grants +3 bonus to Spot in shadows;Gains +8 bonus to Spot in shadows,,1,1,Normal,,,,,,MM,277,
"Owl, Giant",,,Large,Magical Beast,,4,10,,,70,average,,3,"2 Claws+4+0+1,Bite+5+0+0",,,,,normal,,,,,,,,,,,18,17,12,10,14,10,,,,,,,,,,,,,,,,-,,,,,,,,7,,Exalted,Exalted,,,,MM,205,
Owlbear,,,Large,Magical Beast,,5,30,,,,,,5,"2 Claws+4+0+1,Bite+5+0+0",,,,,,,,,,,,,,,,21,12,21,2,12,10,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,,MM,206,
Pegasus,,,Large,Magical Beast,,4,60,,,120,average,,3,"2 Hooves+4+0+1,Bite+2+0+0",,"Detect Good, Detect Evil (at will)",,,,,,,,,,,,,,18,15,16,10,13,13,,,,,,,,,,,,,,,,-,,,,,,,,7,,Exalted,Exalted,,,,MM,206,
Pony,,,Medium,Animal,,2,40,,,,,,2,2 Hooves+3+0+1,,,,,normal,60,,,,,,,,,,13,13,12,2,11,4,,,,,,,,,,,,,,,,-,,,,,,,,1,,,,,,,MM,277,
Porpoise,,,Medium,Animal,,2,,,,,,80,2,Slam+9+0+2,,,,,normal,,,,,,,,,,,11,17,13,3,12,6,,,,,,,,,,,,,,,,-,,,,,,,,1,,,,,,,MM,278,
Pseudodragon,,,Tiny,Dragon,,2,15,,,60,good,,4,Sting;Bite;,,,,,normal,,,"sleep,paralysis",,,19,,,,,6,15,13,10,12,10,,,,,,,,,,Weapon Finesse;Alertness;,,,,,Neutral Good,-,,,,,Poison;Blindsense 60 ft.;Telepathy 60 ft.,,7,,Improved,,,,,,MM,210,PlH
Quasit,,,Tiny,Outsider,,3,20,,,50,perfect,,3,2 claws;bite;,,,,,normal,60,,poison,,fire 10,,5/cold iron or good,2,,,8,17,10,10,12,10,,,,,,,,,,Improved Initiative;Weapon Finesse;,,,,,Chaotic Evil,-,,,,,Poison;Spell-like abilities;Alternate form,,7,,"Improved, Planar",,,,,,MM,46,
Racoon Dog,,,Small,Animal,,1,30,,,,,,1,Bite+5+0+2,,,,,,60,,,,,,,,,,12,13,12,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,OA,,
Ram,,,Medium,Animal,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,1,,,,,,,PGtA,,
Rat,,,Tiny,Animal,,0.125,15,,15,,,15,0,Bite+5+0+2,,,,,,,,,,,,,,,,2,15,10,2,12,2,,,,,,,,,,Weapon Finesse,,,,0,Neutral,-,,,,,Scent,,1,,Normal,,,,,,MM,278,
Raven,,,Tiny,Animal,,0.25,10,,,40,average,,0,Claws+4+0+2,,,,,normal,,,,,,,,,,,1,15,10,2,14,6,,,,,,,,,,Weapon Finesse,,,,0,Neutral,-,,,,,,,1,,Normal,,,,,,MM,278,
Remorhaz,,,Huge,Magical Beast,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,13,,,,,,,MM,214,
Rhinoceros,,,Large,Animal,,8,30,,,,,,7,Gore+6+0+2,,,,,,,,,,,,,,,,26,10,21,2,13,2,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,,MM,278,
Sailsnake,,,Medium,Magical Beast,,3,20,,,30,poor,,2,Bite;,,,,,normal,,,,,,,,,,,14,17,15,1,12,10,,,,,,,,,,Improved Natural Weapon;Weapon Finesse;,,,,,Neutral,-,,,,,Scent;Venom Spray,,5,,Improved,,,,,,MM4,,
Sea Cat,,,Large,Magical Beast,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,,MM,220,
"Shark, Huge",,,Huge,Animal,Aquatic,10,,,,,,60,5,Bite+5+0+2,,,,,,,,,,,,,,,,21,15,15,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,10,,,,,,,MM,279,
"Shark, Large",,,Large,Animal,Aquatic,7,,,,,,60,4,Bite+5+0+2,,,,,normal,,,,,,,,,,,17,15,13,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,4,,,,,,,MM,279,
"Shark, Medium",,,Medium,Animal,Aquatic,3,,,,,,60,3,Bite+5+0+2,,,,,normal,,,,,,,,,,,13,15,13,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,1,,,,,,,MM,279,
Shocker Lizard,,,Small,Magical Beast,,2,40,,20,,,20,3,Bite;,,,,,normal,,,electricity,,,,,,,,10,15,13,2,12,6,,,,,,,,,,Improved Initiative;,,,,,Neutral,-,,,,,Stunning shock;Lethal shock;Electricity sense,,5,4,Improved,,,,,,MM,224,
"Snake, Constrictor",,,Medium,Animal,,3,20,,20,,,20,2,Bite+3+0+2,,,,,normal,60,,,,,,,,,,17,17,13,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,4,,,,,,,MM,279,
"Snake, Giant Constrictor",,,Huge,Animal,,11,20,,20,,,20,4,Bite+4+0+2,,,,,normal,,,,,,,,,,,25,17,13,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,10,,,,,,,MM,280,
"Snake, Huge Viper",,,Huge,Animal,,6,20,,20,,,20,5,Bite+3+0+2,,,,,normal,,,,,,,,,,,16,15,13,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,7,,,,,,,MM,280,
"Snake, Large Viper",,,Large,Animal,,3,20,,20,,,20,3,Bite+3+0+2,,,,,normal,,,,,,,,,,,10,17,11,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,4,,,,,,,MM,281,
"Snake, Medium Viper",,,Medium,Animal,,2,20,,20,,,20,3,Bite+4+0+2,,,,,normal,,,,,,,,,,,8,17,11,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,1,,,,,,,MM,282,
"Snake, Small Viper",,,Small,Animal,,1,20,,20,,,20,3,Bite+3+0+2,,,,,normal,,,,,,,,,,,6,17,11,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,1,,,,,,,MM,283,
"Snake, Tiny Viper",,,Tiny,Animal,,0.25,15,,15,,,15,2,Bite+3+0+2,,,,,normal,,,,,,,,,,,4,17,11,1,12,2,,,,,,,,,,Weapon Finesse,,,,0,Neutral,-,,,,,Poison;Scent,,1,,Normal,,,,,,MM,280,
Sparrow,,,Fine,Animal,,1,1,,,50,average,,,,,,,,normal,,,,,,,,,,,1,23,10,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,OA,,
Spider Eater,,,Large,Magical Beast,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,10,,,,,,,MM,234,
"Spider, Hairy",,,Fine,Vermin,,0.125,20,,10,,,,,Bite;,,,,,,,,poison,,,,,,,,1,14,10,-,10,2,,,,,,,,,,,,,,,Neutral,-,,,,,Poison,,1,,Improved,,,,,,FRCS,79,
Squid,,,Medium,Animal,Aquatic,3,,,,,,60,3,"Arms+1+0-1,Bite+5+0+0",,,,,,60,,,,,,,,,,14,17,11,1,12,2,,,,,,,,,,,,,,,Neutral,-,,,,,Ink Cloud;Jet,,,1,,,,,,,MM,281,
"Squid, Giant",,,Huge,Animal,Aquatic,12,,,,,,80,6,"10 Tentacles+3+0+1,Bite+14+0+0",,,,,normal,,,,,,,,,,,26,17,13,1,12,2,,,,,,,,,,,,,,,,-,,,,,,,,16,,,,,,,MM,281,
Stirge,,,Tiny,Magical Beast,,1,10,,,40,average,,0,Touch;,,,,,normal,,,,,,,,,,,3,19,10,1,12,6,,,,,,,,,,Alertness;Weapon Finesse;,,,,,Neutral,-,,,,,Attach;Blood drain,,5,1,Improved,,,,,,MM,236,
Tiger,,,Large,Animal,,6,40,,,,,,3,"2 Claws+5+0+1,Bite+6+0+0,Rake+5+0+0",,,,,normal,60,,,,,,,,,,23,15,17,2,12,6,,,,,,,,,,,,,,4,Neutral,-,,,,,,,,7,,,,,,,MM,281,
Toad,,,Diminutive,Animal,,0.25,5,,,,,,0,;,,,,,normal,,,,,,,,,,,1,12,11,1,14,4,,,,,,,,,,Alertness,,,,0,Neutral,-,,,,,Amphibious,,1,,Normal,,,,,,MM,282,
Tressym,,,Tiny,Magical Beast,,0.5,30,,,50,good,,0,"Bite+5+0+1,2 Claws+4+0+0",,,,,normal,,,poison,,,,,,,,3,15,10,12,12,13,,,,,,,,,,Weapon Finesse;,,,,,Neutral Good,-,,,,,Scent,,5,,Improved,,,,,,FRCS,309,PGtF
Triceratops,,,Huge,Animal,,16,30,,,,,,11,"Gore+14+0+2,Trample+16+0+2",,,,,,,,,,,,,,,,30,9,25,1,12,7,,,,,,,,,,,,,,,,-,,,,,,,,16,,,,,,Dinosaur,MM,61,
Tyrannosaurus,,,Huge,Animal,,18,40,,,,,,5,Bite+6+0+2,,,,,normal,,,,,,,,,,,28,12,21,2,15,10,,,,,,,,,,,,,,,,-,,,,,,,,16,,,,,,Dinosaur,MM,61,
Unicorn,,,Large,Magical Beast,,4,60,,,,,,6,"Horn+5+0+2,2 Hooves+3+0+0",,,,,normal,,,,,,,,,,,20,17,21,10,21,24,,,,,,,,,,,,,,,Chaotic Good,-,,,,,,,,7,,Exalted,Exalted,,,,MM,249,
Vargouille,,,Small,Magical Beast,,1,,,,30,good,,0,Bite+5+0+2,,,,,,,,,,,,,,,,10,13,12,5,12,8,,,,,,,,,,Weapon Finesse;,,,,,Neutral Evil,-,,,,,Shriek;Kiss;Poison,,7,,Improved,,,,,,MM,,
Weasel,,,Tiny,Animal,,0.5,20,,20,,,,0,Bite+5+0+2,,,,,,60,,,,,,,,,,3,15,10,2,12,5,,,,,,,,,,Weapon Finesse,,,,0,Neutral,-,,,,,Scent,,1,,Normal,,,,,,MM,282,
"Whale, Orca",,,Huge,Animal,,,,,,,,,,,,,,,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,10,,,,,,,MM,283,
Winter Wolf,,,Large,Magical Beast,,6,50,,,,,,5,Bite+5+0+2,,,,,,,,cold,fire,,,,,,,18,13,16,9,13,10,,,,,,,,,,Alertness;Improved Initiative;Track;,,,,,Neutral Evil,-,,,,,Breath Weapon;Freezing Bite;Trip,,7,,Improved,,,,,,MM,256,CW
Wolf,,,Medium,Animal,,2,50,,,,,,2,Bite+5+0+2,,,,,normal,60,,,,,,,,,,13,15,15,2,12,6,,,,,,,,,,,,,,2,Chaotic Evil,-,,,,,,,,1,,,,,,,MM,283,
Wolverine,,,Medium,Animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,4,,,,,,,MM,283,
Worg,,,Medium,Magical Beast,,4,50,,,,,,2,Bite+5+0+2,,,,,,,,,,,,,,,,17,15,15,6,14,10,,,,,,,,,,Alertness;Track;,,,,,Neutral Evil,-,,,,,Trip;Scent,,3,,Improved,,,,,,MM,256,CW
Custom Familiar,,,,Magical Beast,,0,0,0,0,0,,0,0,,,,,,normal,60,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,#REF!,,,,,#REF!,-,,,,,#REF!,,1,,,,,,,,CUST`,,
